Survey month,Parameter,State and territory,Sex,Classification,Category,Full_time,Full_time_RSE,Part_time,Part_time_RSE,With paid leave entitlements,With paid leave entitlements_RSE,Without paid leave entitlements,Without paid leave entitlements_RSE,Total,Total_RSE,Sub_Category,ParentCategory
2014,Median weekly earnings,VIC,Females,Relationship in household,Family member,1035.214,1.4,470.223,2.2,900.0,1.5,320.0,4.3,800.0,1.9,,Family member
2014,Median weekly earnings,VIC,Females,Relationship in household,"   Husband, wife or partner",1078.376,2.7,550.633,3.7,922.118,2.1,450.0,6.3,850.0,1.8,"Husband, wife or partner",Family member
2014,Median weekly earnings,VIC,Females,Relationship in household,      With dependants,1082.185,4.5,560.894,4.0,900.0,4.1,424.282,7.9,821.0,2.9,With dependants,Family member
2014,Median weekly earnings,VIC,Females,Relationship in household,      Without dependants,1075.317,3.4,544.815,4.7,958.0,2.5,480.341,11.3,900.0,2.9,Without dependants,Family member
2014,Median weekly earnings,VIC,Females,Relationship in household,   Lone parent,1047.82,6.2,503.524,4.9,870.513,7.3,375.114,23.3,798.287,5.2,Lone parent,Family member
2014,Median weekly earnings,VIC,Females,Relationship in household,   Dependent student,625.091,0.1,130.0,11.2,184.997,19.8,122.004,10.5,131.838,10.9,Dependent student,Family member
2014,Median weekly earnings,VIC,Females,Relationship in household,   Non-dependent child,949.28,3.0,450.0,15.0,863.0,2.7,300.0,19.6,800.0,3.9,Non-dependent child,Family member
2014,Median weekly earnings,VIC,Females,Relationship in household,   Other related individual,948.45,6.3,377.237,20.8,936.742,9.7,400.0,33.1,749.649,9.6,Other related individual,Family member
2014,Median weekly earnings,VIC,Females,Relationship in household,Non-family member,1151.13,3.1,500.0,8.2,1072.316,3.8,396.456,19.4,1000.0,3.5,,Non-family member
2014,Median weekly earnings,VIC,Females,Relationship in household,   Lone person,1225.846,4.9,553.886,8.2,1150.0,4.4,367.719,37.8,1073.464,4.1,Lone person,Non-family member
2014,Median weekly earnings,VIC,Females,Relationship in household,   Not living alone,1000.0,6.8,390.329,15.6,1000.0,4.5,419.301,26.6,888.633,6.1,Not living alone,Non-family member
2014,Median weekly earnings,VIC,Females,Relationship in household,Relationship not determined,854.857,26.2,107.618,0.1,860.823,0.1,113.766,0.1,481.047,0.1,,Relationship not determined
2014,Median weekly earnings,QLD,Persons,Relationship in household,Family member,1200.0,1.4,479.0,2.7,1100.0,1.9,480.0,3.2,977.264,1.1,,Family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,"   Husband, wife or partner",1280.484,1.9,600.0,2.6,1188.971,1.5,632.111,4.0,1060.0,1.6,"Husband, wife or partner",Family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,      With dependants,1350.0,3.8,600.0,2.2,1245.514,3.5,600.0,8.3,1113.695,3.8,With dependants,Family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,      Without dependants,1200.0,2.3,556.862,3.9,1100.0,2.7,671.357,6.0,1026.921,1.4,Without dependants,Family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,   Lone parent,1148.197,3.7,563.704,8.0,1087.78,3.9,534.581,13.8,950.0,4.0,Lone parent,Family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,   Dependent student,698.135,11.8,129.524,6.3,365.169,35.9,135.48,6.0,142.803,7.0,Dependent student,Family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,   Non-dependent child,874.812,2.7,400.987,6.3,800.0,4.1,575.287,5.6,700.0,3.6,Non-dependent child,Family member
2014,Median weekly earnings,QLD,Persons,Relationship in household,   Other related individual,999.356,5.5,452.634,14.0,942.871,10.5,413.328,19.9,778.638,12.7,Other related individual,Family member
