ï»¿Year,Year ending,Local Government Area,postcode,suburb_name,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,SAL_CODE21
2025,March,Greater Shepparton,3633,Congupna,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,2,20620
2025,March,Greater Shepparton,3633,Congupna,A Crimes against the person,Other crimes against the person,Other crimes against the person,2,20620
2025,March,Greater Shepparton,3633,Congupna,B Property and deception offences,B10 Arson,B19 Other fire related offences,1,20620
2025,March,Greater Shepparton,3633,Congupna,B Property and deception offences,B20 Property damage,B21 Criminal damage,11,20620
2025,March,Greater Shepparton,3633,Congupna,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,1,20620
2025,March,Greater Shepparton,3633,Congupna,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,3,20620
2025,March,Greater Shepparton,3633,Congupna,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,1,20620
2025,March,Greater Shepparton,3633,Congupna,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,1,20620
2025,March,Greater Shepparton,3633,Congupna,B Property and deception offences,B40 Theft,B49 Other theft,2,20620
2025,March,Greater Shepparton,3633,Congupna,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,2,20620
2025,March,Greater Shepparton,3633,Congupna,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,1,20620
2025,March,Greater Shepparton,3633,Congupna,C Drug offences,C30 Drug use and possession,C32 Drug possession,1,20620
2025,March,Greater Shepparton,3633,Congupna,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,1,20620
2025,March,Greater Shepparton,3633,Congupna,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,1,20620
2025,March,Greater Shepparton,3634,Bunbartha,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,20393
2025,March,Greater Shepparton,3634,Bunbartha,A Crimes against the person,Other crimes against the person,Other crimes against the person,2,20393
2025,March,Greater Shepparton,3634,Bunbartha,B Property and deception offences,B10 Arson,B11 Cause damage by fire,1,20393
2025,March,Greater Shepparton,3634,Bunbartha,B Property and deception offences,B20 Property damage,B21 Criminal damage,1,20393
2025,March,Greater Shepparton,3634,Bunbartha,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,2,20393
2025,March,Greater Shepparton,3634,Bunbartha,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,1,20393
2025,March,Greater Shepparton,3634,Bunbartha,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,20393
2025,March,Greater Shepparton,3634,Bunbartha,B Property and deception offences,B40 Theft,B49 Other theft,2,20393
2025,March,Greater Shepparton,3634,Bunbartha,C Drug offences,C30 Drug use and possession,C32 Drug possession,1,20393
2025,March,Greater Shepparton,3634,Katandra,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,1,21308
2025,March,Greater Shepparton,3634,Katandra,B Property and deception offences,B10 Arson,B11 Cause damage by fire,2,21308
2025,March,Greater Shepparton,3634,Katandra West,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,2,21309
2025,March,Greater Shepparton,3634,Katandra West,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,2,21309
2025,March,Greater Shepparton,3634,Katandra West,A Crimes against the person,Other crimes against the person,Other crimes against the person,1,21309
2025,March,Greater Shepparton,3634,Katandra West,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,21309
2025,March,Greater Shepparton,3634,Katandra West,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,1,21309
2025,March,Greater Shepparton,3634,Katandra West,B Property and deception offences,B40 Theft,B49 Other theft,1,21309
2025,March,Greater Shepparton,3634,Katandra West,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,3,21309
2025,March,Greater Shepparton,3634,Marionvale,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1,21605
2025,March,Greater Shepparton,3634,Marionvale,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,21605
2025,March,Greater Shepparton,3634,Marionvale,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,2,21605
2025,March,Greater Shepparton,3634,Marungi,B Property and deception offences,B40 Theft,B49 Other theft,1,21617
2025,March,Greater Shepparton,3634,Tallygaroopna,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,1,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,1,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,1,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,A Crimes against the person,Other crimes against the person,Other crimes against the person,2,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,B Property and deception offences,B20 Property damage,B21 Criminal damage,2,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,5,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,4,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,2,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,1,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,B Property and deception offences,B40 Theft,B49 Other theft,3,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,1,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,3,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,1,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,1,22431
2025,March,Greater Shepparton,3634,Tallygaroopna,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders,1,22431
2025,March,Greater Shepparton,3634,Zeerust,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,1,22943
2025,March,Greater Shepparton,3634,Zeerust,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,1,22943
2025,March,Greater Shepparton,3634,Zeerust,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,1,22943
2025,March,Greater Shepparton,3634,Zeerust,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,1,22943
2025,March,Greater Shepparton,3646,Dookie,B Property and deception offences,B20 Property damage,B21 Criminal damage,1,20777
2025,March,Greater Shepparton,3646,Dookie,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,2,20777
2025,March,Greater Shepparton,3646,Dookie,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,20777
2025,March,Greater Shepparton,3646,Dookie,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,1,20777
2025,March,Greater Shepparton,3646,Dookie,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,20777
2025,March,Greater Shepparton,3646,Dookie,B Property and deception offences,B40 Theft,B49 Other theft,1,20777
2025,March,Greater Shepparton,3646,Dookie,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,1,20777
2025,March,Greater Shepparton,3646,Dookie,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order,3,20777
2025,March,Greater Shepparton,3646,Mount Major,B Property and deception offences,B40 Theft,B49 Other theft,2,21802
2025,March,Greater Shepparton,3646,Nalinga,B Property and deception offences,B40 Theft,B49 Other theft,2,21869
2025,March,Greater Shepparton,3669,Gowangardie,B Property and deception offences,B40 Theft,B49 Other theft,1,21081
2025,March,Greater Shepparton,3669,Violet Town,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,1,22635
2025,March,Greater Shepparton,3725,Major Plains,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1,21581
2025,March,Hepburn,3352,Mollongghip,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,1,21724
2025,March,Hepburn,3352,Sulky,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,1,22389
2025,March,Hepburn,3352,Wattle Flat,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,1,22726
2025,March,Hepburn,3363,Creswick,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,4,20672
2025,March,Hepburn,3363,Creswick,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,3,20672
2025,March,Hepburn,3363,Creswick,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",1,20672
2025,March,Hepburn,3363,Creswick,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,4,20672
2025,March,Hepburn,3363,Creswick,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,9,20672
2025,March,Hepburn,3363,Creswick,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,2,20672
2025,March,Hepburn,3363,Creswick,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,2,20672
2025,March,Hepburn,3363,Creswick,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1,20672
2025,March,Hepburn,3363,Creswick,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,1,20672
2025,March,Hepburn,3363,Creswick,A Crimes against the person,Other crimes against the person,Other crimes against the person,6,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B10 Arson,B11 Cause damage by fire,6,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B10 Arson,B19 Other fire related offences,1,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B20 Property damage,B21 Criminal damage,10,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B20 Property damage,B22 Graffiti,2,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,4,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,16,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,17,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,14,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,54,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B40 Theft,B43 Steal from a retail store,7,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,2,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,5,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B40 Theft,B49 Other theft,33,20672
2025,March,Hepburn,3363,Creswick,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,4,20672
2025,March,Hepburn,3363,Creswick,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,2,20672
