SAL_CODE21,SAL_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,SHAPE_Leng,SHAPE_Area
20596,Coburg,2,Victoria,AUS,Australia,6.918,http://linked.data.gov.au/dataset/asgsed3/SAL/20596,0.121230040152,0.000707083842415
20597,Coburg North,2,Victoria,AUS,Australia,4.7842,http://linked.data.gov.au/dataset/asgsed3/SAL/20597,0.107812145158,0.000488967077039
20598,Cocamba,2,Victoria,AUS,Australia,54.4892,http://linked.data.gov.au/dataset/asgsed3/SAL/20598,0.347045437828,0.0053874647506
20599,Cochranes Creek,2,Victoria,AUS,Australia,53.1948,http://linked.data.gov.au/dataset/asgsed3/SAL/20599,0.41670101117,0.0053639245147
20600,Cockatoo (Vic.),2,Victoria,AUS,Australia,28.2172,http://linked.data.gov.au/dataset/asgsed3/SAL/20600,0.351538046384,0.00289145239791
20601,Cocoroc,2,Victoria,AUS,Australia,64.8815,http://linked.data.gov.au/dataset/asgsed3/SAL/20601,0.408415962728,0.00665236975863
20602,Codrington (Vic.),2,Victoria,AUS,Australia,62.9864,http://linked.data.gov.au/dataset/asgsed3/SAL/20602,0.371267473225,0.00648269044479
20603,Coghills Creek,2,Victoria,AUS,Australia,16.5104,http://linked.data.gov.au/dataset/asgsed3/SAL/20603,0.201468612859,0.00167978411856
20604,Cohuna,2,Victoria,AUS,Australia,161.34,http://linked.data.gov.au/dataset/asgsed3/SAL/20604,1.04727225606,0.0160818888311
20605,Coimadai,2,Victoria,AUS,Australia,71.6531,http://linked.data.gov.au/dataset/asgsed3/SAL/20605,0.499027650859,0.00731001257577
20606,Cokum,2,Victoria,AUS,Australia,53.3982,http://linked.data.gov.au/dataset/asgsed3/SAL/20606,0.382921910458,0.00532125160049
20607,Colac,2,Victoria,AUS,Australia,37.626,http://linked.data.gov.au/dataset/asgsed3/SAL/20607,0.315771435042,0.00387579483875
20608,Colac Colac,2,Victoria,AUS,Australia,31.3816,http://linked.data.gov.au/dataset/asgsed3/SAL/20608,0.308032199482,0.00314559707283
20609,Colac East,2,Victoria,AUS,Australia,3.6343,http://linked.data.gov.au/dataset/asgsed3/SAL/20609,0.110766804785,0.00037448522755
20610,Colac West,2,Victoria,AUS,Australia,6.9841,http://linked.data.gov.au/dataset/asgsed3/SAL/20610,0.119134050992,0.000719610783879
20611,Colbinabbin,2,Victoria,AUS,Australia,152.5802,http://linked.data.gov.au/dataset/asgsed3/SAL/20611,0.624190782337,0.0153663214208
20612,Colbrook,2,Victoria,AUS,Australia,18.7971,http://linked.data.gov.au/dataset/asgsed3/SAL/20612,0.254443020461,0.00191610730588
20613,Coldstream (Vic.),2,Victoria,AUS,Australia,55.6135,http://linked.data.gov.au/dataset/asgsed3/SAL/20613,0.678815997465,0.00568194038081
20614,Coleraine,2,Victoria,AUS,Australia,174.3609,http://linked.data.gov.au/dataset/asgsed3/SAL/20614,0.973365634522,0.0177876369034
20615,Colignan,2,Victoria,AUS,Australia,88.6941,http://linked.data.gov.au/dataset/asgsed3/SAL/20615,0.614152977537,0.00870978874097
20616,Collingwood (Vic.),2,Victoria,AUS,Australia,1.2669,http://linked.data.gov.au/dataset/asgsed3/SAL/20616,0.0466127949532,0.000129622183613
20617,Combienbar,2,Victoria,AUS,Australia,331.1671,http://linked.data.gov.au/dataset/asgsed3/SAL/20617,1.08809716863,0.0336867455447
20618,Concongella,2,Victoria,AUS,Australia,148.6047,http://linked.data.gov.au/dataset/asgsed3/SAL/20618,0.668698094419,0.0150525748257
20619,Condah,2,Victoria,AUS,Australia,126.4435,http://linked.data.gov.au/dataset/asgsed3/SAL/20619,0.634290881854,0.01296013288
20620,Congupna,2,Victoria,AUS,Australia,54.1272,http://linked.data.gov.au/dataset/asgsed3/SAL/20620,0.391251013408,0.00543029191207
20621,Connewarre,2,Victoria,AUS,Australia,64.6019,http://linked.data.gov.au/dataset/asgsed3/SAL/20621,0.500195977833,0.0066494715047
20622,Connewirricoo,2,Victoria,AUS,Australia,49.3394,http://linked.data.gov.au/dataset/asgsed3/SAL/20622,0.500777940258,0.00500734470188
20623,Coojar,2,Victoria,AUS,Australia,89.9114,http://linked.data.gov.au/dataset/asgsed3/SAL/20623,0.502031750247,0.00914454999652
20624,Coolaroo,2,Victoria,AUS,Australia,3.1355,http://linked.data.gov.au/dataset/asgsed3/SAL/20624,0.0947673604898,0.000320155323718
20625,Cooma (Vic.),2,Victoria,AUS,Australia,22.7394,http://linked.data.gov.au/dataset/asgsed3/SAL/20625,0.237343244287,0.00228468865878
20626,Coomboona,2,Victoria,AUS,Australia,50.2011,http://linked.data.gov.au/dataset/asgsed3/SAL/20626,0.524982188474,0.00503507034758
20627,Coomoora,2,Victoria,AUS,Australia,8.6457,http://linked.data.gov.au/dataset/asgsed3/SAL/20627,0.207225005334,0.000878990977108
20628,Coongulla,2,Victoria,AUS,Australia,32.3035,http://linked.data.gov.au/dataset/asgsed3/SAL/20628,0.300909447458,0.00330777113004
20629,Coonooer Bridge,2,Victoria,AUS,Australia,63.5218,http://linked.data.gov.au/dataset/asgsed3/SAL/20629,0.465875317053,0.00638631227076
20630,Coonooer West,2,Victoria,AUS,Australia,48.9056,http://linked.data.gov.au/dataset/asgsed3/SAL/20630,0.424761636561,0.00491432288229
20631,Cooriemungle,2,Victoria,AUS,Australia,146.4711,http://linked.data.gov.au/dataset/asgsed3/SAL/20631,0.709957029225,0.0151384036518
20632,Cope Cope,2,Victoria,AUS,Australia,143.7097,http://linked.data.gov.au/dataset/asgsed3/SAL/20632,0.612730148009,0.0144491699414
20633,Cora Lynn,2,Victoria,AUS,Australia,23.1707,http://linked.data.gov.au/dataset/asgsed3/SAL/20633,0.245225725724,0.00238136691571
20634,Corack,2,Victoria,AUS,Australia,76.1744,http://linked.data.gov.au/dataset/asgsed3/SAL/20634,0.46440550708,0.00763161826944
20635,Corack East,2,Victoria,AUS,Australia,42.65,http://linked.data.gov.au/dataset/asgsed3/SAL/20635,0.383884376998,0.00427120779797
20636,Coragulac,2,Victoria,AUS,Australia,10.7037,http://linked.data.gov.au/dataset/asgsed3/SAL/20636,0.18737869524,0.00110180579096
20637,Coral Bank,2,Victoria,AUS,Australia,19.0914,http://linked.data.gov.au/dataset/asgsed3/SAL/20637,0.244944671001,0.00192326074811
20638,Corindhap,2,Victoria,AUS,Australia,31.6298,http://linked.data.gov.au/dataset/asgsed3/SAL/20638,0.337947153318,0.00323864875875
20639,Corinella (Vic.),2,Victoria,AUS,Australia,16.7901,http://linked.data.gov.au/dataset/asgsed3/SAL/20639,0.264440604763,0.00173209572474
20640,Corio,2,Victoria,AUS,Australia,19.7904,http://linked.data.gov.au/dataset/asgsed3/SAL/20640,0.211672479331,0.00203187407003
20641,Corndale (Vic.),2,Victoria,AUS,Australia,144.3137,http://linked.data.gov.au/dataset/asgsed3/SAL/20641,0.632866252825,0.014712643168
20642,Cornella,2,Victoria,AUS,Australia,74.65609999999998,http://linked.data.gov.au/dataset/asgsed3/SAL/20642,0.447182770607,0.00752647757876
