anzsco_code,occupation,industry,industry_code
323313,Locksmiths,Public Administration and Safety,O
323314,Precision Instrument Makers and Repairers,Other Services,S
323314,Precision Instrument Makers and Repairers,Wholesale Trade,F
323314,Precision Instrument Makers and Repairers,Health Care and Social Assistance,Q
323315,Saw Doctors,Manufacturing,C
323315,Saw Doctors,Other Services,S
323315,Saw Doctors,"Agriculture, Forestry and Fishing",A
323316,Watch and Clock Makers and Repairers,Other Services,S
323316,Watch and Clock Makers and Repairers,Retail Trade,G
323316,Watch and Clock Makers and Repairers,Manufacturing,C
323411,Engineering Patternmakers,Manufacturing,C
323412,Toolmakers,Manufacturing,C
323412,Toolmakers,Other Services,S
323412,Toolmakers,Wholesale Trade,F
324211,Vehicle Body Builders,Manufacturing,C
324211,Vehicle Body Builders,Other Services,S
324211,Vehicle Body Builders,"Transport, Postal and Warehousing",I
324212,Vehicle Trimmers,Other Services,S
324212,Vehicle Trimmers,Manufacturing,C
331111,Bricklayers,Construction,E
331112,Stonemasons,Manufacturing,C
331112,Stonemasons,Construction,E
331212,Carpenters,Construction,E
331213,Joiners,Construction,E
331213,Joiners,Manufacturing,C
333211,Fibrous Plasterers,Construction,E
333212,Solid Plasterers,Construction,E
334111,Plumbers (General),Construction,E
334112,Airconditioning and Mechanical Services Plumbers,Construction,E
334113,Drainers,Construction,E
334114,Gasfitters,Construction,E
334114,Gasfitters,"Electricity, Gas, Water and Waste Services",D
334115,Roof Plumbers,Construction,E
341111,Electricians (General),Construction,E
341111,Electricians (General),Manufacturing,C
341111,Electricians (General),Mining,B
341112,Electricians (Special Class),Construction,E
341112,Electricians (Special Class),Manufacturing,C
341112,Electricians (Special Class),Mining,B
341113,Lift Mechanics,Construction,E
341113,Lift Mechanics,Other Services,S
341113,Lift Mechanics,Manufacturing,C
342211,Electrical Linesworkers,"Electricity, Gas, Water and Waste Services",D
342211,Electrical Linesworkers,Construction,E
342212,Technical Cable Jointers,"Electricity, Gas, Water and Waste Services",D
342212,Technical Cable Jointers,Construction,E
342311,Business Machine Mechanics,Wholesale Trade,F
342311,Business Machine Mechanics,Other Services,S
342311,Business Machine Mechanics,Manufacturing,C
342312,Communications Operators,Public Administration and Safety,O
342313,Electronic Equipment Trades Workers,Construction,E
342313,Electronic Equipment Trades Workers,Other Services,S
342313,Electronic Equipment Trades Workers,"Professional, Scientific and Technical Services",M
342314,Electronic Instrument Trades Workers (General),Public Administration and Safety,O
342314,Electronic Instrument Trades Workers (General),Manufacturing,C
342314,Electronic Instrument Trades Workers (General),Mining,B
342315,Electronic Instrument Trades Workers (Special Class),"Transport, Postal and Warehousing",I
342315,Electronic Instrument Trades Workers (Special Class),Manufacturing,C
342315,Electronic Instrument Trades Workers (Special Class),Wholesale Trade,F
342411,Cablers (Data and Telecommunications),Construction,E
342411,Cablers (Data and Telecommunications),Information Media and Telecommunications,J
342412,Telecommunications Cable Jointers,Information Media and Telecommunications,J
342412,Telecommunications Cable Jointers,Construction,E
342413,Telecommunications Linesworkers,Information Media and Telecommunications,J
342413,Telecommunications Linesworkers,Construction,E
342414,Telecommunications Technicians,Information Media and Telecommunications,J
342414,Telecommunications Technicians,Construction,E
342414,Telecommunications Technicians,Other Services,S
351111,Bakers,Manufacturing,C
351111,Bakers,Retail Trade,G
351111,Bakers,Accommodation and Food Services,H
351112,Pastrycooks,Manufacturing,C
351112,Pastrycooks,Accommodation and Food Services,H
351112,Pastrycooks,Retail Trade,G
361111,Dog Handlers and Trainers,Other Services,S
361111,Dog Handlers and Trainers,Public Administration and Safety,O
361111,Dog Handlers and Trainers,Arts and Recreation Services,R
361112,Horse Trainers,Arts and Recreation Services,R
361112,Horse Trainers,Education and Training,P
361112,Horse Trainers,"Agriculture, Forestry and Fishing",A
361113,Pet Groomers,Other Services,S
361113,Pet Groomers,Retail Trade,G
361114,Zookeepers,Arts and Recreation Services,R
361115,Kennel Hands,Other Services,S
361115,Kennel Hands,"Professional, Scientific and Technical Services",M
361115,Kennel Hands,Arts and Recreation Services,R
361199,Other Animal Attendants and Trainers,Other Services,S
361199,Other Animal Attendants and Trainers,"Agriculture, Forestry and Fishing",A
361199,Other Animal Attendants and Trainers,"Professional, Scientific and Technical Services",M
362211,Gardeners (General),Administrative and Support Services,N
362211,Gardeners (General),Public Administration and Safety,O
362211,Gardeners (General),Construction,E
362212,Arborists,Administrative and Support Services,N
362212,Arborists,"Agriculture, Forestry and Fishing",A
362212,Arborists,Public Administration and Safety,O
362213,Landscape Gardeners,Construction,E
362213,Landscape Gardeners,Administrative and Support Services,N
392111,Print Finishers,Manufacturing,C
392111,Print Finishers,Information Media and Telecommunications,J
392112,Screen Printers,Manufacturing,C
392311,Printing Machinists,Manufacturing,C
392311,Printing Machinists,Information Media and Telecommunications,J
392312,Small Offset Printers,Manufacturing,C
392312,Small Offset Printers,Education and Training,P
393111,Canvas Goods Fabricators,Manufacturing,C
393111,Canvas Goods Fabricators,Other Services,S
393112,Leather Goods Makers,Manufacturing,C
393112,Leather Goods Makers,Other Services,S
393112,Leather Goods Makers,Retail Trade,G
393113,Sail Makers,Manufacturing,C
393114,Shoemakers,Other Services,S
393114,Shoemakers,Manufacturing,C
393114,Shoemakers,Retail Trade,G
393211,Apparel Cutters,Manufacturing,C
393211,Apparel Cutters,Retail Trade,G
393211,Apparel Cutters,Arts and Recreation Services,R
393212,Clothing Patternmakers,Manufacturing,C
393212,Clothing Patternmakers,Retail Trade,G
393212,Clothing Patternmakers,"Professional, Scientific and Technical Services",M
393213,Dressmakers and Tailors,Manufacturing,C
393213,Dressmakers and Tailors,Other Services,S
393213,Dressmakers and Tailors,Retail Trade,G
393299,Other Clothing Trades Workers,Manufacturing,C
393299,Other Clothing Trades Workers,Retail Trade,G
394211,Furniture Finishers,Manufacturing,C
394211,Furniture Finishers,Construction,E
394211,Furniture Finishers,Other Services,S
394212,Picture Framers,Retail Trade,G
394212,Picture Framers,Manufacturing,C
394212,Picture Framers,Arts and Recreation Services,R
394213,Wood Machinists,Manufacturing,C
394213,Wood Machinists,Construction,E
394213,Wood Machinists,Wholesale Trade,F
394214,Wood Turners,Manufacturing,C
394214,Wood Turners,Wholesale Trade,F
394214,Wood Turners,"Agriculture, Forestry and Fishing",A
394299,Other Wood Machinists and Wood Trades Workers,Manufacturing,C
394299,Other Wood Machinists and Wood Trades Workers,Retail Trade,G
394299,Other Wood Machinists and Wood Trades Workers,Arts and Recreation Services,R
399111,Boat Builders and Repairers,Manufacturing,C
399112,Shipwrights,Manufacturing,C
399112,Shipwrights,"Transport, Postal and Warehousing",I
399211,Chemical Plant Operators,Manufacturing,C
399211,Chemical Plant Operators,Mining,B
399212,Gas and Petroleum Operators,Mining,B
399212,Gas and Petroleum Operators,Manufacturing,C
399212,Gas and Petroleum Operators,Retail Trade,G
399213,Power Generation Plant Operators,"Electricity, Gas, Water and Waste Services",D
399213,Power Generation Plant Operators,Manufacturing,C
399311,Gallery and Museum Technicians,Arts and Recreation Services,R
399311,Gallery and Museum Technicians,Manufacturing,C
399311,Gallery and Museum Technicians,Public Administration and Safety,O
399312,Library Technicians,Education and Training,P
399312,Library Technicians,Public Administration and Safety,O
399312,Library Technicians,Information Media and Telecommunications,J
399511,Broadcast Transmitter Operators,Information Media and Telecommunications,J
399511,Broadcast Transmitter Operators,Arts and Recreation Services,R
399512,"Camera Operators (Film, Television or Video)",Information Media and Telecommunications,J
399512,"Camera Operators (Film, Television or Video)","Professional, Scientific and Technical Services",M
399512,"Camera Operators (Film, Television or Video)",Arts and Recreation Services,R
399513,Light Technicians,Arts and Recreation Services,R
399513,Light Technicians,Information Media and Telecommunications,J
399513,Light Technicians,Public Administration and Safety,O
399514,Make Up Artists,Other Services,S
399514,Make Up Artists,Retail Trade,G
399514,Make Up Artists,Information Media and Telecommunications,J
399515,Musical Instrument Makers and Repairers,Other Services,S
399515,Musical Instrument Makers and Repairers,Manufacturing,C
399515,Musical Instrument Makers and Repairers,Retail Trade,G
399516,Sound Technicians,Information Media and Telecommunications,J
399516,Sound Technicians,Arts and Recreation Services,R
399516,Sound Technicians,Administrative and Support Services,N
399517,Television Equipment Operators,Information Media and Telecommunications,J
399517,Television Equipment Operators,Arts and Recreation Services,R
399517,Television Equipment Operators,"Professional, Scientific and Technical Services",M
399599,Other Performing Arts Technicians,Information Media and Telecommunications,J
399599,Other Performing Arts Technicians,Arts and Recreation Services,R
399599,Other Performing Arts Technicians,Education and Training,P
399911,Divers,"Agriculture, Forestry and Fishing",A
399911,Divers,"Transport, Postal and Warehousing",I
399911,Divers,Public Administration and Safety,O
399912,Interior Decorators,"Professional, Scientific and Technical Services",M
399912,Interior Decorators,Construction,E
399912,Interior Decorators,"Rental, Hiring and Real Estate Services",L
399913,Optical Dispensers,Health Care and Social Assistance,Q
399914,Optical Mechanics,Health Care and Social Assistance,Q
399914,Optical Mechanics,Manufacturing,C
399914,Optical Mechanics,Wholesale Trade,F
399915,Photographer's Assistants,"Professional, Scientific and Technical Services",M
399915,Photographer's Assistants,Information Media and Telecommunications,J
399915,Photographer's Assistants,Other Services,S
399916,Plastics Technicians,Manufacturing,C
399916,Plastics Technicians,Construction,E
399916,Plastics Technicians,Other Services,S
399917,Wool Classers,"Agriculture, Forestry and Fishing",A
399917,Wool Classers,Wholesale Trade,F
399918,Fire Protection Equipment Technicians,Public Administration and Safety,O
399918,Fire Protection Equipment Technicians,Construction,E
399918,Fire Protection Equipment Technicians,Other Services,S
399999,Technicians and Trades Workers (not covered elsewhere),Manufacturing,C
399999,Technicians and Trades Workers (not covered elsewhere),"Electricity, Gas, Water and Waste Services",D
399999,Technicians and Trades Workers (not covered elsewhere),"Professional, Scientific and Technical Services",M
411111,Ambulance Officers,Health Care and Social Assistance,Q
411112,Intensive Care Ambulance Paramedics,Health Care and Social Assistance,Q
411211,Dental Hygienists,Health Care and Social Assistance,Q
411212,Dental Prosthetists,Health Care and Social Assistance,Q
411212,Dental Prosthetists,Manufacturing,C
411213,Dental Technicians,Manufacturing,C
411213,Dental Technicians,Health Care and Social Assistance,Q
411214,Dental Therapists,Health Care and Social Assistance,Q
411411,Enrolled Nurses,Health Care and Social Assistance,Q
411412,Mothercraft Nurses,Health Care and Social Assistance,Q
411412,Mothercraft Nurses,Public Administration and Safety,O
411412,Mothercraft Nurses,Education and Training,P
411711,Community Workers,Health Care and Social Assistance,Q
411711,Community Workers,Public Administration and Safety,O
411711,Community Workers,Other Services,S
411712,Disabilities Services Officers,Health Care and Social Assistance,Q
411712,Disabilities Services Officers,Administrative and Support Services,N
411713,Family Support Workers,Health Care and Social Assistance,Q
411713,Family Support Workers,Public Administration and Safety,O
411713,Family Support Workers,Other Services,S
411714,Parole and Probation Officers,Public Administration and Safety,O
411715,Residential Care Officers,Health Care and Social Assistance,Q
411715,Residential Care Officers,Public Administration and Safety,O
411716,Youth Workers,Health Care and Social Assistance,Q
411716,Youth Workers,Public Administration and Safety,O
411716,Youth Workers,Education and Training,P
421111,Child Care Workers,Health Care and Social Assistance,Q
421111,Child Care Workers,Education and Training,P
421112,Family Day Care Workers,Health Care and Social Assistance,Q
421113,Nannies,Other Services,S
421113,Nannies,Health Care and Social Assistance,Q
421113,Nannies,Education and Training,P
421114,Out of School Hours Care Workers,Health Care and Social Assistance,Q
421114,Out of School Hours Care Workers,Education and Training,P
422111,Aboriginal and Torres Strait Islander Education Workers,Education and Training,P
422112,Integration Aides,Education and Training,P
422115,Preschool Aides,Education and Training,P
422115,Preschool Aides,Health Care and Social Assistance,Q
422116,Teachers' Aides,Education and Training,P
423311,Hospital orderlies,Health Care and Social Assistance,Q
423312,Nursing Support Workers,Health Care and Social Assistance,Q
423313,Personal Care Assistants,Health Care and Social Assistance,Q
423314,Therapy Aides,Health Care and Social Assistance,Q
423411,Child and Youth Residential Care Assistants,Health Care and Social Assistance,Q
423411,Child and Youth Residential Care Assistants,Public Administration and Safety,O
423412,Hostel Parents,Education and Training,P
423413,Refuge Workers,Health Care and Social Assistance,Q
423413,Refuge Workers,Other Services,S
423413,Refuge Workers,Public Administration and Safety,O
431111,Bar Attendants,Accommodation and Food Services,H
431112,Baristas,Accommodation and Food Services,H
431112,Baristas,Retail Trade,G
431911,Bar Usefuls and Bussers,Accommodation and Food Services,H
431911,Bar Usefuls and Bussers,Arts and Recreation Services,R
431912,Doorpersons and Luggage Porters,Accommodation and Food Services,H
431912,Doorpersons and Luggage Porters,Arts and Recreation Services,R
431912,Doorpersons and Luggage Porters,Manufacturing,C
431999,Hospitality Workers (not covered elsewhere),Arts and Recreation Services,R
431999,Hospitality Workers (not covered elsewhere),Accommodation and Food Services,H
441211,Emergency Service Workers,Mining,B
441211,Emergency Service Workers,Public Administration and Safety,O
441211,Emergency Service Workers,Health Care and Social Assistance,Q
441212,Fire Fighters,Public Administration and Safety,O
441311,Detectives,Public Administration and Safety,O
441312,Police Officers,Public Administration and Safety,O
442211,"Alarm, Security and Surveillance Monitors",Public Administration and Safety,O
442212,Armoured Car Escorts,Public Administration and Safety,O
442213,Crowd Controllers,Public Administration and Safety,O
442213,Crowd Controllers,Accommodation and Food Services,H
442213,Crowd Controllers,Arts and Recreation Services,R
442214,Private Investigators,Public Administration and Safety,O
442214,Private Investigators,Financial and Insurance Services,K
442214,Private Investigators,"Professional, Scientific and Technical Services",M
442215,Retail Loss Prevention Officers,Retail Trade,G
442215,Retail Loss Prevention Officers,Public Administration and Safety,O
442216,Security Consultants,Public Administration and Safety,O
442216,Security Consultants,"Professional, Scientific and Technical Services",M
442216,Security Consultants,Financial and Insurance Services,K
442217,Security Officers,Public Administration and Safety,O
442217,Security Officers,Health Care and Social Assistance,Q
442299,Other Security Workers,Public Administration and Safety,O
442299,Other Security Workers,Accommodation and Food Services,H
442299,Other Security Workers,Arts and Recreation Services,R
451311,Funeral Directors,Other Services,S
451399,Funeral Workers (Other),Other Services,S
451411,Gallery and Museum Guides,Arts and Recreation Services,R
451411,Gallery and Museum Guides,Public Administration and Safety,O
451412,Tour Guides,Administrative and Support Services,N
451412,Tour Guides,Arts and Recreation Services,R
451412,Tour Guides,"Transport, Postal and Warehousing",I
451511,Natural Remedy Consultants,Health Care and Social Assistance,Q
451511,Natural Remedy Consultants,Other Services,S
451512,Weight Loss Consultants,Accommodation and Food Services,H
451512,Weight Loss Consultants,Other Services,S
451513,Herbalists (Western),Health Care and Social Assistance,Q
451513,Herbalists (Western),Retail Trade,G
451611,Tourist Information Officers,Public Administration and Safety,O
451611,Tourist Information Officers,Administrative and Support Services,N
451611,Tourist Information Officers,Arts and Recreation Services,R
451612,Travel Consultants,Administrative and Support Services,N
451612,Travel Consultants,"Transport, Postal and Warehousing",I
451711,Flight Attendants,"Transport, Postal and Warehousing",I
451799,Other Travel Attendants,"Transport, Postal and Warehousing",I
451799,Other Travel Attendants,Public Administration and Safety,O
451799,Other Travel Attendants,Accommodation and Food Services,H
451811,Civil Celebrants,Other Services,S
451812,Hair and Beauty Salon Assistants,Other Services,S
451814,Body Artists,Other Services,S
451815,First Aid Trainers,Education and Training,P
451815,First Aid Trainers,Health Care and Social Assistance,Q
451816,Religious Assistants,Other Services,S
451816,Religious Assistants,Health Care and Social Assistance,Q
451816,Religious Assistants,Education and Training,P
451899,Personal Service Workers (not covered elsewhere),Other Services,S
451899,Personal Service Workers (not covered elsewhere),Health Care and Social Assistance,Q
451899,Personal Service Workers (not covered elsewhere),Education and Training,P
452212,Fishing Guides,"Transport, Postal and Warehousing",I
452212,Fishing Guides,"Agriculture, Forestry and Fishing",A
452212,Fishing Guides,Administrative and Support Services,N
452215,Outdoor Adventure Instructors,Education and Training,P
452215,Outdoor Adventure Instructors,Arts and Recreation Services,R
452216,Trekking Guides,Administrative and Support Services,N
452216,Trekking Guides,Arts and Recreation Services,R
452216,Trekking Guides,"Transport, Postal and Warehousing",I
452299,Other Outdoor Adventure Guides,Arts and Recreation Services,R
452299,Other Outdoor Adventure Guides,Administrative and Support Services,N
452299,Other Outdoor Adventure Guides,Education and Training,P
452311,"Scuba, Snorkelling and Dive instructors","Transport, Postal and Warehousing",I
452311,"Scuba, Snorkelling and Dive instructors",Education and Training,P
452311,"Scuba, Snorkelling and Dive instructors",Arts and Recreation Services,R
452312,Gymnastics Coaches and Instructors,Arts and Recreation Services,R
452312,Gymnastics Coaches and Instructors,Education and Training,P
452313,Horse Riding Coaches and Instructors,Education and Training,P
452313,Horse Riding Coaches and Instructors,Arts and Recreation Services,R
452314,Snowsport Instructors,Education and Training,P
452314,Snowsport Instructors,Arts and Recreation Services,R
452314,Snowsport Instructors,"Transport, Postal and Warehousing",I
452315,Swimming Coaches and Instructors,Education and Training,P
452315,Swimming Coaches and Instructors,Arts and Recreation Services,R
452315,Swimming Coaches and Instructors,Public Administration and Safety,O
452316,Tennis Coaches,Education and Training,P
452316,Tennis Coaches,Arts and Recreation Services,R
452317,Other Sports Coaches and Instructors,Education and Training,P
452317,Other Sports Coaches and Instructors,Arts and Recreation Services,R
452318,Dog and Horse Racing Officials,Arts and Recreation Services,R
452321,Sports Development Officers,Arts and Recreation Services,R
452321,Sports Development Officers,Education and Training,P
452321,Sports Development Officers,Public Administration and Safety,O
452322,Sports Umpires,Arts and Recreation Services,R
452323,Other Sports Officials,Arts and Recreation Services,R
452323,Other Sports Officials,Accommodation and Food Services,H
452323,Other Sports Officials,Education and Training,P
452411,"Footballers (Soccer, Rugby and AFL)",Arts and Recreation Services,R
452412,Golfers,Arts and Recreation Services,R
452412,Golfers,Education and Training,P
452412,Golfers,Accommodation and Food Services,H
452413,Jockeys,Arts and Recreation Services,R
452414,Lifeguards,Arts and Recreation Services,R
452414,Lifeguards,Public Administration and Safety,O
452414,Lifeguards,Education and Training,P
452499,Other Sportspersons,Arts and Recreation Services,R
452499,Other Sportspersons,Education and Training,P
511111,Contract Administrators,Construction,E
511111,Contract Administrators,Public Administration and Safety,O
511111,Contract Administrators,"Professional, Scientific and Technical Services",M
511112,Program and Project Administrators,Public Administration and Safety,O
511112,Program and Project Administrators,Health Care and Social Assistance,Q
511112,Program and Project Administrators,"Professional, Scientific and Technical Services",M
512211,Health Practice Managers,Health Care and Social Assistance,Q
512299,Other Practice Managers,"Professional, Scientific and Technical Services",M
512299,Other Practice Managers,Health Care and Social Assistance,Q
512299,Other Practice Managers,Financial and Insurance Services,K
521211,Secretaries (General),Construction,E
521211,Secretaries (General),"Professional, Scientific and Technical Services",M
521211,Secretaries (General),Other Services,S
521212,Legal Secretaries,"Professional, Scientific and Technical Services",M
532111,Data Entry Operators,Health Care and Social Assistance,Q
532111,Data Entry Operators,Public Administration and Safety,O
532111,Data Entry Operators,"Professional, Scientific and Technical Services",M
532112,Machine Shorthand Reporters,Administrative and Support Services,N
532112,Machine Shorthand Reporters,Public Administration and Safety,O
532112,Machine Shorthand Reporters,Information Media and Telecommunications,J
532113,Typists,Health Care and Social Assistance,Q
532113,Typists,Administrative and Support Services,N
532113,Typists,"Professional, Scientific and Technical Services",M
541111,Call Centre or Contact Centre Team Leaders,Financial and Insurance Services,K
541111,Call Centre or Contact Centre Team Leaders,Public Administration and Safety,O
541111,Call Centre or Contact Centre Team Leaders,Administrative and Support Services,N
541112,Call Centre or Contact Centre Operators,Public Administration and Safety,O
541112,Call Centre or Contact Centre Operators,Administrative and Support Services,N
541112,Call Centre or Contact Centre Operators,Financial and Insurance Services,K
542111,Receptionists (General),Health Care and Social Assistance,Q
542111,Receptionists (General),"Professional, Scientific and Technical Services",M
542111,Receptionists (General),Education and Training,P
542112,Admissions Clerks,Health Care and Social Assistance,Q
542113,Hotel and Motel Receptionists,Accommodation and Food Services,H
542114,Medical Receptionists,Health Care and Social Assistance,Q
551111,Accounts Clerks,Construction,E
551111,Accounts Clerks,Health Care and Social Assistance,Q
551111,Accounts Clerks,Manufacturing,C
551112,Cost Clerks,Construction,E
551112,Cost Clerks,Manufacturing,C
551112,Cost Clerks,Other Services,S
552311,Bookmakers,Arts and Recreation Services,R
552312,Insurance Consultants,Financial and Insurance Services,K
552313,Money Market Clerks,Financial and Insurance Services,K
552314,Statistical Clerks,"Professional, Scientific and Technical Services",M
552314,Statistical Clerks,Public Administration and Safety,O
552314,Statistical Clerks,Financial and Insurance Services,K
561111,Betting Agency Counter Clerks,Arts and Recreation Services,R
561111,Betting Agency Counter Clerks,Accommodation and Food Services,H
561113,Telephone Betting Clerks,Arts and Recreation Services,R
561199,Other Betting Clerks,Accommodation and Food Services,H
561199,Other Betting Clerks,Arts and Recreation Services,R
561211,Couriers,"Transport, Postal and Warehousing",I
561211,Couriers,Health Care and Social Assistance,Q
561212,Postal Delivery Officers,"Transport, Postal and Warehousing",I
561411,Mail Clerks,"Transport, Postal and Warehousing",I
561411,Mail Clerks,Public Administration and Safety,O
561411,Mail Clerks,"Professional, Scientific and Technical Services",M
561412,Postal Sorting Officers,"Transport, Postal and Warehousing",I
561911,Classified Advertising Clerks,Information Media and Telecommunications,J
561911,Classified Advertising Clerks,"Professional, Scientific and Technical Services",M
561911,Classified Advertising Clerks,Public Administration and Safety,O
561912,Meter Readers,Administrative and Support Services,N
561912,Meter Readers,"Electricity, Gas, Water and Waste Services",D
561912,Meter Readers,Construction,E
561913,Parking Inspectors,Public Administration and Safety,O
561913,Parking Inspectors,Other Services,S
561999,Clerical and Office Support Workers (not covered elsewhere),"Professional, Scientific and Technical Services",M
561999,Clerical and Office Support Workers (not covered elsewhere),Public Administration and Safety,O
561999,Clerical and Office Support Workers (not covered elsewhere),Retail Trade,G
591112,Production Clerks,Manufacturing,C
591112,Production Clerks,"Transport, Postal and Warehousing",I
591112,Production Clerks,Public Administration and Safety,O
591113,Purchasing Officers,Manufacturing,C
591113,Purchasing Officers,Public Administration and Safety,O
591113,Purchasing Officers,Wholesale Trade,F
591115,Stock Clerks,Retail Trade,G
591115,Stock Clerks,Manufacturing,C
591115,Stock Clerks,Wholesale Trade,F
591116,Warehouse Administrators,Wholesale Trade,F
591116,Warehouse Administrators,"Transport, Postal and Warehousing",I
591116,Warehouse Administrators,Retail Trade,G
591117,Order Clerks,Wholesale Trade,F
591117,Order Clerks,Retail Trade,G
591117,Order Clerks,Manufacturing,C
591211,Despatching and Receiving Clerks,"Transport, Postal and Warehousing",I
591211,Despatching and Receiving Clerks,Manufacturing,C
591211,Despatching and Receiving Clerks,Retail Trade,G
591212,Import-Export Clerks,"Transport, Postal and Warehousing",I
591212,Import-Export Clerks,Wholesale Trade,F
591212,Import-Export Clerks,Manufacturing,C
599111,Conveyancers,"Professional, Scientific and Technical Services",M
599111,Conveyancers,"Rental, Hiring and Real Estate Services",L
599112,Legal Executives,"Professional, Scientific and Technical Services",M
599112,Legal Executives,Public Administration and Safety,O
599211,Clerks of Court,Public Administration and Safety,O
599212,Court Bailiffs and Sheriffs,Public Administration and Safety,O
599212,Court Bailiffs and Sheriffs,"Professional, Scientific and Technical Services",M
599213,Court Orderlies,Public Administration and Safety,O
599213,Court Orderlies,Administrative and Support Services,N
599214,Law Clerks,"Professional, Scientific and Technical Services",M
599214,Law Clerks,Public Administration and Safety,O
599215,Trust Officers,Financial and Insurance Services,K
599215,Trust Officers,"Rental, Hiring and Real Estate Services",L
599215,Trust Officers,"Professional, Scientific and Technical Services",M
599511,Customs Officers,Public Administration and Safety,O
599511,Customs Officers,"Transport, Postal and Warehousing",I
599512,Immigration Officers,Public Administration and Safety,O
599513,Motor Vehicle Licence Examiners,Public Administration and Safety,O
599513,Motor Vehicle Licence Examiners,"Transport, Postal and Warehousing",I
599513,Motor Vehicle Licence Examiners,Retail Trade,G
599514,Noxious Weeds and Pest Inspectors,Public Administration and Safety,O
599514,Noxious Weeds and Pest Inspectors,Administrative and Support Services,N
599514,Noxious Weeds and Pest Inspectors,"Agriculture, Forestry and Fishing",A
599515,Social Security Assessors,Public Administration and Safety,O
599516,Taxation Inspectors,Public Administration and Safety,O
599516,Taxation Inspectors,"Professional, Scientific and Technical Services",M
599517,Train Examiners,"Transport, Postal and Warehousing",I
599517,Train Examiners,Mining,B
599517,Train Examiners,Manufacturing,C
599518,Transport Operations Inspectors,"Transport, Postal and Warehousing",I
599518,Transport Operations Inspectors,Public Administration and Safety,O
599521,Water Inspectors,"Electricity, Gas, Water and Waste Services",D
599521,Water Inspectors,Public Administration and Safety,O
599599,Other Inspectors and Regulatory Officers,Public Administration and Safety,O
599599,Other Inspectors and Regulatory Officers,Financial and Insurance Services,K
599611,Insurance Investigators,Financial and Insurance Services,K
599611,Insurance Investigators,Public Administration and Safety,O
599612,Insurance Loss Adjusters,Financial and Insurance Services,K
599613,Insurance Risk Surveyors,Financial and Insurance Services,K
599912,"Production Assistants (Film, Television, Radio or Stage)",Information Media and Telecommunications,J
599912,"Production Assistants (Film, Television, Radio or Stage)",Arts and Recreation Services,R
599913,Proof Readers,"Professional, Scientific and Technical Services",M
599913,Proof Readers,Information Media and Telecommunications,J
599913,Proof Readers,Education and Training,P
599914,Radio Despatchers,Health Care and Social Assistance,Q
599914,Radio Despatchers,Public Administration and Safety,O
599914,Radio Despatchers,Information Media and Telecommunications,J
599915,Clinical Coders,Health Care and Social Assistance,Q
599916,Facilities Administrators,Public Administration and Safety,O
599916,Facilities Administrators,Education and Training,P
599916,Facilities Administrators,Health Care and Social Assistance,Q
599999,Clerical and Administrative Workers (not covered elsewhere),Education and Training,P
599999,Clerical and Administrative Workers (not covered elsewhere),"Professional, Scientific and Technical Services",M
599999,Clerical and Administrative Workers (not covered elsewhere),Public Administration and Safety,O
611111,Auctioneers,Wholesale Trade,F
611111,Auctioneers,"Rental, Hiring and Real Estate Services",L
611111,Auctioneers,Retail Trade,G
611112,Stock and Station Agents,Wholesale Trade,F
611112,Stock and Station Agents,"Agriculture, Forestry and Fishing",A
611112,Stock and Station Agents,Retail Trade,G
611311,Sales Representatives (Building and Plumbing Supplies),Manufacturing,C
611311,Sales Representatives (Building and Plumbing Supplies),Wholesale Trade,F
611311,Sales Representatives (Building and Plumbing Supplies),Construction,E
611312,Sales Representatives (Business Services),"Professional, Scientific and Technical Services",M
611312,Sales Representatives (Business Services),Information Media and Telecommunications,J
611312,Sales Representatives (Business Services),"Transport, Postal and Warehousing",I
611313,Sales Representatives (Motor Vehicle Parts and Accessories),Retail Trade,G
611313,Sales Representatives (Motor Vehicle Parts and Accessories),Wholesale Trade,F
611313,Sales Representatives (Motor Vehicle Parts and Accessories),Manufacturing,C
611314,Sales Representatives (Personal and Household Goods),Retail Trade,G
611314,Sales Representatives (Personal and Household Goods),Wholesale Trade,F
611314,Sales Representatives (Personal and Household Goods),Manufacturing,C
611399,Other Sales Representatives,Construction,E
611399,Other Sales Representatives,Wholesale Trade,F
611399,Other Sales Representatives,Retail Trade,G
612111,Business Brokers,"Rental, Hiring and Real Estate Services",L
612111,Business Brokers,Wholesale Trade,F
612111,Business Brokers,"Professional, Scientific and Technical Services",M
612112,Property Managers,"Rental, Hiring and Real Estate Services",L
612113,Real Estate Agency Principals,"Rental, Hiring and Real Estate Services",L
612114,Real Estate Agents,"Rental, Hiring and Real Estate Services",L
612115,Real Estate Representatives,"Rental, Hiring and Real Estate Services",L
612115,Real Estate Representatives,Construction,E
621311,Motor Vehicle and Caravan Salespersons,Retail Trade,G
621311,Motor Vehicle and Caravan Salespersons,Wholesale Trade,F
621312,Motor Vehicle Parts Interpreters,Retail Trade,G
621312,Motor Vehicle Parts Interpreters,Wholesale Trade,F
621312,Motor Vehicle Parts Interpreters,Other Services,S
621711,Cash Van Salespersons,Accommodation and Food Services,H
621711,Cash Van Salespersons,Wholesale Trade,F
621711,Cash Van Salespersons,Retail Trade,G
621712,Door-to-door Salespersons,Retail Trade,G
621712,Door-to-door Salespersons,Health Care and Social Assistance,Q
621712,Door-to-door Salespersons,Other Services,S
621713,Street Vendors,Retail Trade,G
