anzsco_code,occupation,industry,industry_code
211299,Other Music Professionals,Other Services,S
211411,Painters (Visual Arts),Arts and Recreation Services,R
211412,Potters and Ceramic Artists,Manufacturing,C
211412,Potters and Ceramic Artists,Arts and Recreation Services,R
211412,Potters and Ceramic Artists,Education and Training,P
211413,Sculptors,Arts and Recreation Services,R
211413,Sculptors,Manufacturing,C
211499,Other Visual Arts or Crafts Professionals,Arts and Recreation Services,R
211499,Other Visual Arts or Crafts Professionals,Manufacturing,C
211499,Other Visual Arts or Crafts Professionals,Information Media and Telecommunications,J
212111,Artistic Directors,Arts and Recreation Services,R
212111,Artistic Directors,Education and Training,P
212112,Media Producers,Information Media and Telecommunications,J
212112,Media Producers,"Professional, Scientific and Technical Services",M
212112,Media Producers,Arts and Recreation Services,R
212113,Radio Presenters,Information Media and Telecommunications,J
212113,Radio Presenters,Arts and Recreation Services,R
212114,Television Presenters,Information Media and Telecommunications,J
212114,Television Presenters,Arts and Recreation Services,R
212211,Authors,Arts and Recreation Services,R
212211,Authors,Information Media and Telecommunications,J
212211,Authors,"Professional, Scientific and Technical Services",M
212212,Book and Script Editors,Information Media and Telecommunications,J
212212,Book and Script Editors,Education and Training,P
212212,Book and Script Editors,Arts and Recreation Services,R
212311,"Art Directors (Film, Television or Stage)",Information Media and Telecommunications,J
212311,"Art Directors (Film, Television or Stage)",Arts and Recreation Services,R
212311,"Art Directors (Film, Television or Stage)","Professional, Scientific and Technical Services",M
212312,"Directors (Film, Television, Radio or Stage)",Information Media and Telecommunications,J
212312,"Directors (Film, Television, Radio or Stage)",Arts and Recreation Services,R
212312,"Directors (Film, Television, Radio or Stage)","Professional, Scientific and Technical Services",M
212313,Cinematographers,Information Media and Telecommunications,J
212313,Cinematographers,"Professional, Scientific and Technical Services",M
212314,Film and Video Editors,Information Media and Telecommunications,J
212314,Film and Video Editors,"Professional, Scientific and Technical Services",M
212315,Program Directors (Television or Radio),Information Media and Telecommunications,J
212316,Stage Managers,Arts and Recreation Services,R
212316,Stage Managers,Information Media and Telecommunications,J
212316,Stage Managers,Education and Training,P
212317,Technical Directors,Information Media and Telecommunications,J
212318,Video Producers,Information Media and Telecommunications,J
212318,Video Producers,Arts and Recreation Services,R
212318,Video Producers,"Professional, Scientific and Technical Services",M
212399,"Other Film, Television, Radio and Stage Directors",Information Media and Telecommunications,J
212399,"Other Film, Television, Radio and Stage Directors",Arts and Recreation Services,R
212411,Copywriters,"Professional, Scientific and Technical Services",M
212411,Copywriters,Arts and Recreation Services,R
212411,Copywriters,Retail Trade,G
212412,Newspaper and Periodical Editors,Information Media and Telecommunications,J
212412,Newspaper and Periodical Editors,"Professional, Scientific and Technical Services",M
212412,Newspaper and Periodical Editors,Public Administration and Safety,O
212413,Print Journalists,Information Media and Telecommunications,J
212413,Print Journalists,Arts and Recreation Services,R
212414,Radio Journalists,Information Media and Telecommunications,J
212415,Technical Writers,"Professional, Scientific and Technical Services",M
212415,Technical Writers,Education and Training,P
212415,Technical Writers,Public Administration and Safety,O
212416,Television Journalists,Information Media and Telecommunications,J
212499,"Bloggers, Critics, Sports and Other Writers (not covered elsewhere)",Information Media and Telecommunications,J
212499,"Bloggers, Critics, Sports and Other Writers (not covered elsewhere)",Arts and Recreation Services,R
212499,"Bloggers, Critics, Sports and Other Writers (not covered elsewhere)","Professional, Scientific and Technical Services",M
221111,Accountants (General),"Professional, Scientific and Technical Services",M
221111,Accountants (General),Financial and Insurance Services,K
221112,Management Accountants,Public Administration and Safety,O
221112,Management Accountants,"Professional, Scientific and Technical Services",M
221112,Management Accountants,Financial and Insurance Services,K
221113,Taxation Accountants,"Professional, Scientific and Technical Services",M
221211,Company Secretaries,Financial and Insurance Services,K
221211,Company Secretaries,"Professional, Scientific and Technical Services",M
221211,Company Secretaries,Mining,B
221212,Corporate Treasurers,Financial and Insurance Services,K
221212,Corporate Treasurers,"Professional, Scientific and Technical Services",M
221213,External Auditors,"Professional, Scientific and Technical Services",M
221213,External Auditors,Public Administration and Safety,O
221213,External Auditors,Financial and Insurance Services,K
221214,Internal Auditors,Financial and Insurance Services,K
221214,Internal Auditors,"Professional, Scientific and Technical Services",M
221214,Internal Auditors,Public Administration and Safety,O
