Survey month,State and territory,Leave entitlements,Industry,Classification,Category,Persons Weekly Earnings,Persons Weekly Earnings_RSE,Persons Hourly Earnings,Persons Hourly Earnings_RSE,Persons Employees 000,Persons Employees 000_RSE,Males Weekly Earnings,Males Weekly Earnings_RSE,Males Hourly Earnings,Males Hourly Earnings_RSE,Males Employees 000,Males Employees 000_RSE,Females Weekly Earnings,Females Weekly Earnings_RSE,Females Hourly Earnings,Females Hourly Earnings_RSE,Females Employees 000,Females Employees_RSE,Sub_Category,ParentCategory,Industry_Code
2014,Australia,Without leave entitlements,"Transport, postal and warehousing",Mean earnings,Part-time,503.879,10.93,26.089,10.603,0,0,515.146,13.318,26.578,11.192,0,0,476.813,20.14,24.916,19.999,0,0,,Part-time,I
2014,Australia,Without leave entitlements,"Transport, postal and warehousing",Mean earnings,Total,836.835,9.049,26.002,7.794,0,0,894.347,9.282,26.27,7.737,0,0,521.592,17.847,24.532,18.532,0,0,,Total,I
2014,Australia,Without leave entitlements,Information Media and telecommunications,Mean earnings,Full-time,1057.985,19.848,27.503,18.018,0,0,1256.277,30.514,29.874,29.554,0,0,826.804,24.567,24.738,23.889,0,0,,Full-time,J
2014,Australia,Without leave entitlements,Information Media and telecommunications,Mean earnings,Part-time,428.983,25.435,34.206,25.278,0,0,405.216,34.237,42.436,47.346,0,0,442.675,37.288,29.465,31.159,0,0,,Part-time,J
2014,Australia,Without leave entitlements,Information Media and telecommunications,Mean earnings,Total,746.586,15.474,30.821,16.134,0,0,916.123,24.524,34.895,25.311,0,0,606.319,21.729,27.452,21.415,0,0,,Total,J
2014,Australia,Without leave entitlements,Financial and insurance services,Mean earnings,Full-time,1874.657,31.593,48.849,29.693,0,0,2342.089,37.07,57.454,35.186,0,0,987.662,39.317,32.522,42.328,0,0,,Full-time,K
2014,Australia,Without leave entitlements,Financial and insurance services,Mean earnings,Part-time,444.838,26.658,28.316,23.594,0,0,523.216,69.621,23.432,69.831,0,0,431.486,27.155,29.148,23.764,0,0,,Part-time,K
2014,Australia,Without leave entitlements,Financial and insurance services,Mean earnings,Total,1143.853,25.814,38.354,20.514,0,0,1999.136,34.912,51.039,31.764,0,0,586.477,24.529,30.088,20.853,0,0,,Total,K
2014,Australia,Without leave entitlements,"Rental, hiring and real estate services",Mean earnings,Full-time,1669.812,24.53,40.492,24.894,0,0,1837.565,30.019,46.318,30.175,0,0,1328.067,43.493,28.622,41.108,0,0,,Full-time,L
2014,Australia,Without leave entitlements,"Rental, hiring and real estate services",Mean earnings,Part-time,568.546,23.513,45.909,33.874,0,0,532.047,32.545,26.589,30.282,0,0,596.925,29.348,60.93,43.533,0,0,,Part-time,L
2014,Australia,Without leave entitlements,"Rental, hiring and real estate services",Mean earnings,Total,1039.541,17.121,43.592,22.153,0,0,1229.194,23.312,37.125,20.527,0,0,819.394,23.815,51.1,35.99,0,0,,Total,L
2014,Australia,Without leave entitlements,"Professional, scientific and technical services",Mean earnings,Full-time,1696.711,16.156,42.137,15.837,0,0,1752.783,16.98,43.267,16.556,0,0,1508.608,42.067,38.348,40.009,0,0,,Full-time,M
2014,Australia,Without leave entitlements,"Professional, scientific and technical services",Mean earnings,Part-time,496.156,16.382,33.433,13.331,0,0,554.964,26.571,35.697,19.876,0,0,465.684,13.92,32.26,14.871,0,0,,Part-time,M
2014,Australia,Without leave entitlements,"Professional, scientific and technical services",Mean earnings,Total,936.791,12.027,36.628,9.642,0,0,1233.966,15.018,39.988,12.614,0,0,641.061,17.735,33.283,13.056,0,0,,Total,M
2014,Australia,Without leave entitlements,Administrative and support services,Mean earnings,Full-time,1318.884,12.795,32.722,12.084,0,0,1599.851,18.808,37.477,18.542,0,0,939.871,20.967,26.309,21.161,0,0,,Full-time,N
2014,Australia,Without leave entitlements,Administrative and support services,Mean earnings,Part-time,404.489,16.723,25.537,14.101,0,0,425.665,24.548,25.241,21.844,0,0,392.165,18.697,25.709,17.396,0,0,,Part-time,N
2014,Australia,Without leave entitlements,Administrative and support services,Mean earnings,Total,801.829,11.348,28.659,9.702,0,0,1066.031,17.148,31.914,15.36,0,0,578.957,13.75,25.914,12.896,0,0,,Total,N
2014,Australia,Without leave entitlements,Public administration and safety,Mean earnings,Full-time,1305.706,9.079,32.453,9.861,0,0,1325.376,10.65,32.656,11.568,0,0,1255.232,25.225,31.948,21.775,0,0,,Full-time,O
2014,Australia,Without leave entitlements,Public administration and safety,Mean earnings,Part-time,525.043,12.577,29.868,11.686,0,0,534.413,20.06,25.836,17.91,0,0,515.182,16.64,34.112,15.714,0,0,,Part-time,O
