_CODE_2021,Tot_P_P
22079,16
22080,66
22081,132
22082,14
22083,12
22084,2575
22085,79
22086,66781
22087,178
22088,3788
22089,0
22090,5
22091,73
22092,42
22093,48
22094,356
22095,38
22096,26
22097,79
22098,717
22099,88
22100,202
22101,149
22102,1024
22103,403
22104,440
22105,3742
22106,174
22107,17633
22108,220
22109,4436
22110,10016
22111,708
22112,619
22113,787
22114,126
22115,214
22116,5
22117,38
22118,12203
22119,37
22120,28
22121,33790
22122,2005
22123,236
22124,1108
22125,47
22126,21
22127,292
22128,50
22129,772
22130,598
22131,229
22132,5
22133,354
22134,2365
22135,1516
22136,223
22137,672
22138,83
22139,19
22140,31
22141,2295
22142,443
22143,76
22144,296
22145,589
22146,329
22147,5294
22148,1009
22149,708
22150,111
22151,3000
22152,102
22153,67
22154,299
22155,157
22156,28
22157,6
22158,26
22159,102
22160,2695
22161,51096
22162,0
22163,52
22164,836
22165,56
22166,13
22167,3
22168,7
22169,34
22170,28587
22171,9
22172,4390
22173,31
22174,19144
22175,10764
22176,9964
22177,268
22178,994
22179,1532
22180,287
22181,165
22182,49
22183,3497
22184,3154
22185,71
22186,2583
22187,25
22188,43
22189,4
22190,213
22191,208
22192,34
22193,5797
22194,8616
22195,26
22196,0
22197,128
22198,14381
22199,1729
22200,7
22201,141
22202,49
22203,1221
22204,27
22205,10
22206,231
22207,33571
22208,24129
22209,44
22210,187
22211,164
22212,36
22213,64
22214,545
22215,1411
22216,70
22217,2579
22218,0
22219,324
22220,9438
22221,33
22222,6328
22223,79
22224,743
22225,72
22226,14296
22227,38
22228,57
22229,1700
22230,130
22231,9
22232,5211
22233,89
22234,10926
22235,200
22236,312
22237,0
22238,543
22239,970
22240,86
22241,855
22242,6066
22243,105
22244,244
22245,214
22246,619
22247,4952
22248,15
22249,17215
22250,2067
22251,373
22252,161
22253,140
22254,251
22255,10194
22256,5143
22257,614
22258,1626
22259,0
22260,28
22261,222
22262,129
22263,2559
22264,837
22265,6569
22266,186
22267,3
22268,126
22269,38
22270,27
22271,423
22272,263
22273,5
22274,71
22275,32067
22276,1192
22277,2048
22278,294
22279,679
22280,28
22281,1323
22282,322
22283,583
22284,39
22285,76
22286,249
22287,19
22288,70
22289,27
22290,609
22291,8088
22292,34
22293,245
22294,315
22295,356
22296,32
22297,56
22298,1762
22299,1189
22300,0
22301,820
22302,2813
22303,1857
22304,6
22305,11767
22306,2013
22307,421
22308,1014
22309,2156
22310,11548
22311,24989
22312,124
22313,71
22314,25028
22315,22631
22316,128
22317,42
22318,53
22319,2820
22320,3092
22321,200
22322,117
22323,35
22324,9
22325,193
22326,349
22327,184
22328,22174
22329,12766
22330,38042
22331,4942
22332,1186
22333,974
22334,2318
22335,100
22336,43
22337,44
22338,75
22339,2890
22340,34
22341,40
22342,123
22343,19490
22344,12571
22345,2951
22346,3542
22347,44
22348,63
22349,368
22350,826
22351,371
22352,105
22353,47
22354,6220
22355,276
22356,61
22357,118
22358,0
22359,41
22360,49
22361,79
22362,45
22363,0
22364,310
22365,65
22366,187
22367,101
22368,11
22369,2980
22370,231
22371,180
22372,351
22373,5756
22374,176
22375,198
22376,6850
22377,84
22378,33
22379,1072
22380,8980
22381,1047
22382,3997
22383,158
22384,107
22385,78
22386,20
22387,255
22388,5
22389,234
22390,0
22391,38851
22392,368
22393,306
22394,503
22395,9445
22396,12047
22397,18552
22398,670
22399,13655
22400,16
22401,129
22402,3
22403,160
22404,103
22405,11186
22406,11
22407,0
22408,127
22409,861
22410,227
22411,10
22412,17
22413,232
